title,description,pubDate,link
Donald Trump guilty on all counts in historic criminal trial,"He becomes the first former - or serving - president to be convicted of a crime, as he bids to return to the White House.","Thu, 30 May 2024 12:10:34 GMT",https://www.bbc.co.uk/news/live/world-us-canada-69069142
Anthony Zurcher: What Trump's conviction means for US election,There is no precedent for this moment - but we will have to wait until November to know the real impact.,"Thu, 30 May 2024 21:18:47 GMT",https://www.bbc.com/news/articles/cnll59r891xo
Can Trump run for president as a convicted felon? ,Donald Trump has been convicted on 34 counts of falsifying business records. So what happens next?,"Fri, 31 May 2024 00:34:22 GMT",https://www.bbc.com/news/articles/crgg4kv0682o
Watch: Trump calls trial 'a disgrace' after guilty verdict,The former US president was found guilty on all 34 counts on Thursday.,"Thu, 30 May 2024 21:38:39 GMT",https://www.bbc.co.uk/news/world-us-canada-69077610
From inside court: Trump sits motionless as verdict delivered,"As each juror verbally confirmed the decision to convict him, Mr Trump turned his head in their direction and followed their faces one by one.","Thu, 30 May 2024 22:29:03 GMT",https://www.bbc.com/news/articles/c2xx1dyd70xo
BBC reporter in court describes Trump's reaction after guilty verdict,A BBC reporter who was in the courtroom describes the former president's body language as the guilty verdict was read.,"Thu, 30 May 2024 23:37:00 GMT",https://www.bbc.com/news/videos/c4nnk2y5n61o
Trump’s hush-money trial was his to lose. Here’s why he did,"Trump's lack of a counter-narrative was among the problems that stymied the defence, some say.","Thu, 30 May 2024 22:58:42 GMT",https://www.bbc.com/news/articles/c288wpj1glyo
"Starmer vows green energy push, but SNP says plans will destroy jobs","The Labour leader is in Scotland to launch his energy plans, including a pledge to start work on green projects within months.","Fri, 31 May 2024 03:47:39 GMT",https://www.bbc.co.uk/news/live/uk-politics-69078711
Thousands of cancer patients to trial personalised vaccines,Thousands of people in England are set to get access to a new type of treatment to fight their disease.,"Thu, 30 May 2024 23:55:23 GMT",https://www.bbc.com/news/articles/cl77qvd2krgo
Biden allows Ukraine to hit some targets in Russia with US weapons,"The US president gives Ukraine permission to use US-supplied weapons to strike targets in Russia, but only near Kharkiv. ","Fri, 31 May 2024 00:41:10 GMT",https://www.bbc.com/news/articles/cy770l9llnzo
Police blamed after human error led to M9 tragedy,Lamara Bell died after being left for three days in a car that had crashed down an embankment.,"Fri, 31 May 2024 05:16:37 GMT",https://www.bbc.com/news/articles/c4nn2770d5jo
"Wordle in legal row with geography spinoff, Worldle","The New York Times, Wordle's owner, accuses similarly-named geography game of ""creating confusion.""","Thu, 30 May 2024 23:14:55 GMT",https://www.bbc.com/news/articles/cjrr5ee5zv8o
Earliest and most distant galaxy ever observed,The James Webb Space Telescope smashes its own record for detecting the most distant known galaxy.,"Thu, 30 May 2024 23:07:28 GMT",https://www.bbc.com/news/articles/cjeenyw8rd2o
Model sues over Cannes red carpet 'assault',Sawa Pontyjska is one of several film festival guests filmed in encounters with a security guard.,"Thu, 30 May 2024 17:27:16 GMT",https://www.bbc.com/news/articles/c8vv1p34n8yo
Hundreds of homes get 'do not drink water' warning,"Over 600 homes in Bramley are affected by the warning, which comes after months of issues.","Fri, 31 May 2024 07:10:05 GMT",https://www.bbc.com/news/articles/cgll12v5z7xo
"ANC on course to lose majority, partial South Africa results suggest",The ANC could lose its majority in parliament for the first time since the end of apartheid 30 years ago.,"Fri, 31 May 2024 06:41:18 GMT",https://www.bbc.com/news/articles/cjll8nr6962o
Police seek woman missing for 53 years,Police say there have been no confirmed sightings of Tina Whittamore since 1971.,"Fri, 31 May 2024 05:32:26 GMT",https://www.bbc.com/news/articles/ck554jyl27do
Bodies found in Highlands after search for missing father and son hillwalkers,The family of a dad and son from Cheshire who went missing in the Scottish Highlands have been informed.,"Thu, 30 May 2024 21:04:46 GMT",https://www.bbc.com/news/articles/c288w90x2kyo
Calls for action to boost living standards,"Slow income growth should be tackled with policies to improve productivity, a report suggests.","Thu, 30 May 2024 23:12:49 GMT",https://www.bbc.com/news/articles/c7226wle322o
India MP arrested in sex abuse case on return to country,"Prajwal Revanna, who is accused of sexually assaulting several women, was arrested at the Bengaluru airport.","Fri, 31 May 2024 05:14:08 GMT",https://www.bbc.com/news/articles/clkkzx1zyejo
Labour pledges clean power push 'within months',"Labour leader Sir Keir Starmer has pledged that green energy projects would be kickstarted across the country within months.
He plans to create a publicly-owned company, Great British Energy, should Labour win the general election in July.
","Fri, 31 May 2024 02:37:39 GMT",https://www.bbc.com/news/articles/c9xxpypr8d0o
"Fly-tippers to get points on driving licence, Tories promise",The party also says it will create a new law to evict repeat offenders from social housing.,"Thu, 30 May 2024 22:29:31 GMT",https://www.bbc.com/news/articles/cedd9l00leyo
"Starmer left-wing purge row is not dying down, says Chris Mason",The Labour leader is facing a backlash over claims he is freezing out left-wing election candidates.,"Thu, 30 May 2024 13:52:17 GMT",https://www.bbc.com/news/articles/cv22n56e3z6o
Greens challenge 'timid' Labour at election launch,"After record local election gains, the Greens are aiming for four MPs in their ""most ambitious"" campaign.","Thu, 30 May 2024 14:59:51 GMT",https://www.bbc.com/news/articles/cx007xnyw40o
SNP says it is only party offering route back to EU,"The SNP claim young Scots have been let down by Westminster, citing Brexit and austerity measures.","Thu, 30 May 2024 15:41:47 GMT",https://www.bbc.com/news/articles/cd11l9jg4x7o
Plaid Cymru only party putting Wales first - leader,"Plaid Cymru is launching its general election campaign, promising a ""positive alternative"".","Thu, 30 May 2024 16:02:59 GMT",https://www.bbc.com/news/articles/c0jjn4gk307o
Faisal Islam: Election tax row is a phony war,Promises by the Conservatives and Labour on tax are similar but reality will emerge after 4 July.,"Thu, 30 May 2024 11:58:30 GMT",https://www.bbc.com/news/articles/cw55vxlyd29o
Election poll tracker: How do the parties compare?,How do people say they will vote in the UK general election? Our poll tracker measures the trends.,"Wed, 29 May 2024 20:23:02 GMT",https://www.bbc.co.uk/news/uk-politics-68079726
